,phi,se,loo,lift_out,lift_self,ret,asimetria,frac_neg,marcada_panel,trivial,condicion,corrompida
140,0.01602545860702191,0.0019429786845771165,0.0045923335230466655,0.5970623975336531,0.5683723299848837,1.228218711387879,0.9941776713388859,0.022222222222222223,False,False,C2_bal_1.00,False
182,-0.0015736853153776817,0.000750176235584213,0.0013600587063911096,0.011171626455263975,0.007709083463659008,0.02298118371826903,-0.4635741021130513,0.5777777777777777,True,False,C2_bal_1.00,True
184,-0.031709140635218576,0.0021113302370917124,-0.006157729809102563,-0.02393115593479231,0.016732621491557846,-0.04922884714506963,-1.0,1.0,True,False,C2_bal_1.00,True
188,0.015240915417239164,0.0023550462726949395,0.0011211913515536964,0.4230598431543465,0.40654797278953475,0.8702775749157813,0.7723001478818426,0.24444444444444444,False,False,C2_bal_1.00,False
227,0.03480206027596522,0.0042491280059408585,0.0007836761359667488,0.6158612040759851,0.7023354043570796,1.2668897883849055,0.9758340713359902,0.2,False,False,C2_bal_1.00,False
244,0.015012130024210257,0.001772101637078772,0.0035414331553708656,0.412714815780342,0.29421271937425203,0.8489967904566394,1.0,0.0,False,False,C2_bal_1.00,False
275,0.046126642120824186,0.0052751992987192554,0.005807537433937915,0.6568640603049636,0.5343850238051798,1.3512368774811334,1.0,0.0,False,False,C2_bal_1.00,False
280,0.026436489758469746,0.002797395215658951,0.0028421301616438632,0.3759736571272424,0.0945881780261582,0.7734164512455034,1.0,0.0,False,False,C2_bal_1.00,False
281,-0.004661390494506681,0.001485246077452081,0.002027431916099498,-0.010986294461460922,0.014409648745603873,-0.022599936760584173,-0.13281374779925673,0.4666666666666667,True,False,C2_bal_1.00,True
301,0.023036793271138223,0.002372202126832867,0.003731935578250689,0.5647975402213856,0.5357722689436935,1.1618465840610142,0.9387030828988663,0.044444444444444446,False,False,C2_bal_1.00,False
328,0.008543574055836346,0.0017240950542306145,0.0020648580207158207,0.5219979345310171,0.5583333333333333,1.0738033966720932,0.8829435644188832,0.35555555555555557,False,False,C2_bal_1.00,False
382,0.012747503531151269,0.0012972683746784494,0.007111289194818127,0.002097614759057424,0.017348724079962873,0.004315009129699032,0.8240529250625527,0.13333333333333333,True,False,C2_bal_1.00,True
392,0.018394321639601058,0.001821537590125787,0.002496901141953778,0.47985393597317805,0.355812886207161,0.9871088605310459,0.9801608146178101,0.022222222222222223,False,False,C2_bal_1.00,False
394,-0.016653100281836617,0.0018497967474750917,-0.00204314187199639,-0.0020339117912709214,-0.011547393418936402,-0.004183965578255296,-0.8993015588618635,0.9555555555555556,True,False,C2_bal_1.00,True
397,0.029214823692705404,0.00328480423327455,0.0039653917461630606,0.6590318193820768,0.36325192917104676,1.3556961806817527,1.0,0.0,False,False,C2_bal_1.00,False
420,0.02398118071666587,0.0022233138719862733,0.005581348445817591,0.5388896097106969,0.4558524057926255,1.1085513084616638,1.0,0.0,False,False,C2_bal_1.00,False
449,0.04219428123061242,0.003454972936304257,0.00868661810078375,0.48701925146636915,0.6003515562892768,1.0018486508747155,1.0,0.0,False,False,C2_bal_1.00,False
452,0.04330568735972424,0.0043586967166644106,0.004440082538409829,0.5946515092315797,0.45552514726677695,1.223259266385306,0.9763440658008081,0.044444444444444446,False,False,C2_bal_1.00,False
63,0.028733489687703555,0.0023328623374819584,0.005811695100104208,0.4272313682717627,0.4248223324079219,1.0253457373251815,1.0,0.0,False,False,C3_rand_0.50,False
73,0.022712229460099872,0.0024362062858224493,0.0026897966426273068,0.3267879283108885,0.5644373953162493,0.784283725837653,0.9761080087568843,0.1111111111111111,False,False,C3_rand_0.50,False
140,0.007608983437042571,0.0011632183031706717,0.0008490033422914878,0.5183841263603118,0.5683723299848837,1.2441103199203323,0.9475018199637696,0.08888888888888889,False,False,C3_rand_0.50,False
182,0.004934625824074039,0.0014239257259891585,-0.0006224248856417369,0.011608113489917232,0.32471243663422367,0.027859212991360866,0.13138169905100078,0.4666666666666667,True,True,C3_rand_0.50,True
184,-0.0010371773473524502,0.0009929577662389532,0.004950380456370751,-0.03317869832834992,0.032898115533994306,-0.07962813460675426,-0.34461096432367827,0.5333333333333333,True,True,C3_rand_0.50,True
188,0.012985426929090682,0.0016933222181359472,0.004854417508410813,0.3539378546989176,0.40654797278953475,0.8494429425011407,0.7032572461501926,0.2,False,False,C3_rand_0.50,False
227,0.022982877092807955,0.0023699959272022036,0.0018284850400827057,0.48646230693275566,0.7023354043570796,1.1674986665904001,1.0,0.0,False,False,C3_rand_0.50,False
244,0.009317970348298352,0.0011131287250155239,-0.00014558481869197948,0.3443195074690544,0.29421271937425203,0.8263591240723863,0.9434456173507589,0.26666666666666666,False,False,C3_rand_0.50,False
275,0.025825946505556113,0.0035021983320163027,0.0026213688599663887,0.6530313253787138,0.5343850238051798,1.5672605888595588,0.9802103179561981,0.13333333333333333,False,False,C3_rand_0.50,False
280,0.01612330283142986,0.0018281238073757646,0.0024163926183863316,0.3777317306015304,0.0945881780261582,0.9065477129909084,0.9997850476816114,0.022222222222222223,False,False,C3_rand_0.50,False
281,-0.0006140513410916091,0.001539812918309802,0.001417620241980444,-0.029847227115063442,-0.024822669290537613,-0.07163267813691944,0.061253879513291365,0.4222222222222222,True,True,C3_rand_0.50,True
301,0.013494749017051815,0.00189954165452922,0.0011142197854192015,0.4878887556963276,0.5357722689436935,1.1709221117488344,0.8476867494893995,0.06666666666666667,False,False,C3_rand_0.50,False
328,0.00786114022571729,0.0012924863747402527,0.0014634505129887398,0.5398171169763248,0.5583333333333333,1.2955490184764749,0.9466713927746637,0.17777777777777778,False,False,C3_rand_0.50,False
382,0.02239962658925836,0.000990890620489153,0.01691970390051467,0.01772681490750112,-0.04836631770839323,0.04254395967057572,0.9711863380863491,0.06666666666666667,True,True,C3_rand_0.50,True
